Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Visitable;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Plan Sin Aval;Arrienda al toque;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
;79941;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;1D1B;;;Si;335000.00;35000.00;12;0;0.00;0;1;0;Si;3;3.00;1;0;127009;SO;35.00;5.00;;2226;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529742?codigo_referido=;1301;Lista para arrendar
Arriendo Especial;80041;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;250000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127086;SP;20.00;0.00;Ofic. Santa Lucía;503;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529851?codigo_referido=;221;Lista para arrendar
Arriendo Especial;80044;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;270000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127089;SP;21.00;2.40;Ofic. Santa Lucía;555;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529854?codigo_referido=;321;Lista para arrendar
Arriendo Especial;80047;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;270000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127092;SP;21.00;0.00;;622;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529857?codigo_referido=;611;Lista para arrendar
Arriendo Especial;80048;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;275000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127093;SP;20.00;1.00;;120;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529858?codigo_referido=;613;Lista para arrendar
Arriendo Especial;80049;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;275000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127094;SP;21.00;2.40;Ofic. Santa Lucía;103;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529859?codigo_referido=;616;Lista para arrendar
Arriendo Especial;80050;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;275000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127095;SP;21.00;2.40;;584;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529860?codigo_referido=;713;Lista para arrendar
Arriendo Especial;80051;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;275000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127096;SP;21.00;2.00;;1844;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529861?codigo_referido=;717;Lista para arrendar
Arriendo Especial;80052;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;275000.00;30000.00;6;12;50.00;1;1;0;No;3;3.00;1;0;127097;SP;21.00;2.00;;519;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529862?codigo_referido=;814;Lista para arrendar
Arriendo Especial;80056;Av. Buzeta 4502;Cerrillos;Pionera Buzeta;0;30;Estudio;;;Si;255000.00;30000.00;12;0;50.00;1;1;0;No;3;3.00;1;0;127101;SP;22.00;2.00;;2472;OK;VR;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/pionera-buzeta/3848/retail/529866?codigo_referido=;913;Lista para arrendar
